Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS
orneljo01,Jonathan Ornelas,24.0,TEX,AL,18.0,40.0,37.0,1.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,13.0,10.0,0.0,0.0,1.0,0.0,0.0,0.216,0.256,0.27,0.527
ortizjo06,Joey Ortiz,25.0,MIL,NL,142.0,511.0,440.0,58.0,105.0,25.0,6.0,11.0,60.0,11.0,6.0,56.0,103.0,175.0,10.0,6.0,3.0,6.0,0.0,0.239,0.329,0.398,0.726
outmaja01,James Outman*,27.0,LAD,NL,53.0,156.0,136.0,12.0,20.0,4.0,0.0,4.0,11.0,2.0,1.0,16.0,55.0,36.0,0.0,4.0,0.0,0.0,0.0,0.147,0.256,0.265,0.521
ozunama01,Marcell Ozuna,33.0,ATL,NL,162.0,688.0,606.0,96.0,183.0,31.0,0.0,39.0,104.0,1.0,0.0,74.0,170.0,331.0,23.0,3.0,0.0,4.0,2.0,0.302,0.378,0.546,0.925
pachecr01,Cristian Pache,25.0,MIA/PHI,2LG,173.0,365.0,329.0,26.0,65.0,16.0,2.0,2.0,32.0,2.0,0.0,34.0,128.0,91.0,4.0,0.0,0.0,2.0,0.0,0.198,0.271,0.277,0.548
pagesan01,Andy Pages,23.0,LAD,NL,116.0,443.0,403.0,65.0,100.0,23.0,1.0,13.0,46.0,1.0,2.0,29.0,108.0,164.0,8.0,6.0,0.0,4.0,0.0,0.248,0.305,0.407,0.712
pagespe02,Pedro Pagés,25.0,STL,NL,68.0,218.0,202.0,19.0,48.0,3.0,2.0,7.0,27.0,2.0,0.0,13.0,58.0,76.0,7.0,0.0,1.0,2.0,0.0,0.238,0.281,0.376,0.657
palacjo01,Joshua Palacios*,28.0,PIT,NL,23.0,78.0,67.0,10.0,15.0,2.0,0.0,2.0,9.0,1.0,0.0,10.0,12.0,23.0,1.0,1.0,0.0,0.0,0.0,0.224,0.333,0.343,0.677
palacri01,Richie Palacios*,27.0,TBR,AL,92.0,316.0,264.0,46.0,59.0,8.0,1.0,5.0,21.0,19.0,1.0,45.0,67.0,84.0,5.0,5.0,0.0,1.0,2.0,0.223,0.346,0.318,0.664
paredis01,Isaac Paredes,25.0,CHC/TBR,2LG,153.0,641.0,542.0,64.0,129.0,25.0,1.0,19.0,80.0,1.0,1.0,76.0,105.0,213.0,17.0,17.0,0.0,6.0,2.0,0.238,0.346,0.393,0.739
parisky01,Kyren Paris,22.0,LAA,AL,21.0,59.0,51.0,4.0,6.0,2.0,0.0,1.0,5.0,1.0,0.0,7.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,0.118,0.224,0.216,0.44
pasquvi01,Vinnie Pasquantino*,26.0,KCR,AL,131.0,554.0,496.0,64.0,130.0,30.0,2.0,19.0,97.0,1.0,0.0,40.0,71.0,221.0,12.0,4.0,1.0,13.0,1.0,0.262,0.315,0.446,0.76
paulegr01,Graham Pauley*,23.0,SDP,NL,13.0,32.0,32.0,4.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,0.125,0.125,0.313,0.438
pederjo01,Joc Pederson*,32.0,ARI,NL,132.0,449.0,367.0,62.0,101.0,17.0,1.0,23.0,64.0,7.0,4.0,55.0,105.0,189.0,5.0,18.0,1.0,3.0,2.0,0.275,0.393,0.515,0.908
penaje02,Jeremy Peña,26.0,HOU,AL,157.0,650.0,602.0,78.0,160.0,28.0,2.0,15.0,70.0,20.0,6.0,25.0,111.0,237.0,15.0,14.0,3.0,6.0,1.0,0.266,0.308,0.394,0.701
peralda01,David Peralta*,36.0,SDP,NL,91.0,260.0,236.0,35.0,63.0,11.0,0.0,8.0,28.0,2.0,0.0,22.0,54.0,98.0,3.0,2.0,0.0,0.0,0.0,0.267,0.335,0.415,0.75
perdoge01,Geraldo Perdomo#,24.0,ARI,NL,98.0,388.0,337.0,61.0,92.0,21.0,2.0,3.0,37.0,9.0,1.0,36.0,58.0,126.0,5.0,3.0,7.0,5.0,0.0,0.273,0.344,0.374,0.718
peredjh01,Jhonny Pereda,28.0,MIA,NL,20.0,40.0,39.0,2.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,9.0,2.0,1.0,0.0,0.0,0.0,0.231,0.25,0.231,0.481
