Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
230,Mitch Haniger,33,SEA,AL,90,80,65,702.1,171,162,4,5,0,.971,-2,-3,-1,-1,-1,2.13,1.84,OF,hanigmi01
231,Edouard Julien,25,MIN,AL,90,71,47,624.1,258,87,166,5,25,.981,-8,-15,-6,-12,0,3.65,2.78,2B-1B,julieed01
232,Spencer Torkelson,24,DET,AL,90,90,85,799.2,763,701,58,4,59,.995,3,5,2,3,1,8.54,8.43,1B,torkesp01
233,Jake Bauers,28,MIL,NL,89,69,49,628.1,484,441,38,5,42,.990,-1,-3,-2,-3,0,6.86,4.99,1B-OF-P,bauerja01
234,Mark Canha,35,TOT,MLB,89,74,58,665.0,407,383,20,4,32,.990,-2,-4,-6,-10,-1,5.45,4.33,1B-OF-3B,canhama01
235,Travis d'Arnaud,35,ATL,NL,89,79,74,706.2,744,716,25,3,3,.996,3,5,-6,-10,1,9.44,8.33,C,darnatr01
236,Christian Vázquez,33,MIN,AL,89,82,75,731.1,806,773,29,4,2,.995,1,2,7,11,0,9.87,8.91,C-3B-1B,vazquch01
237,Luis Campusano,25,SDP,NL,88,74,70,673.2,728,701,24,3,0,.996,-5,-9,-17,-30,-5,9.69,8.24,C-1B,campulu01
238,Tyler Fitzgerald,26,SFG,NL,88,81,71,728.1,314,120,180,14,33,.955,-5,-8,-5,-8,-2,3.71,3.19,SS-OF-2B-1B-P,fitzgty01
239,Whit Merrifield,35,TOT,NL,88,80,69,723.0,254,114,135,5,29,.980,-3,-5,-5,-8,0,3.10,2.71,2B-OF-3B,merriwh01
240,Gavin Sheets,28,CHW,AL,88,84,61,695.1,376,346,28,2,29,.995,-9,-15,-7,-12,-1,4.84,4.25,1B-OF,sheetga01
241,Vidal Bruján,26,MIA,NL,87,68,51,630.0,264,116,139,9,29,.966,-4,-7,4,7,0,3.64,2.60,SS-2B-OF-3B-P-1B,brujavi01
242,Alec Burleson,25,STL,NL,87,81,47,671.1,238,221,16,1,12,.996,-1,-2,-3,-5,1,3.18,2.63,OF-1B,burleal01
243,Víctor Robles,27,TOT,ZZ,87,73,48,616.2,172,165,4,3,1,.983,7,14,4,7,0,2.47,1.94,OF,roblevi01
244,Dylan Carlson,25,TOT,ZZ,86,54,41,558.1,145,143,1,1,1,.993,-1,-2,-6,-12,-1,2.32,1.67,OF,carlsdy01
245,Ryan Jeffers,27,MIN,AL,86,81,76,720.1,786,749,31,6,0,.992,-3,-5,-4,-7,-1,9.75,9.07,C,jeffery01
246,Richie Palacios,27,TBR,AL,86,70,58,645.1,226,132,87,7,15,.969,6,12,5,9,0,3.05,2.41,OF-2B-3B-SS,palacri01
247,Kevin Pillar,35,TOT,AL,86,67,55,607.2,153,150,2,1,0,.993,-5,-10,-2,-3,0,2.25,1.77,OF,pillake01
